"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"145",1.62579999621134,1.34694625923624,1.96238388098689,"2001",9,"Hombres","Cataluña","Catalunya","CT",69,"diabetes"
"146",1.62579999621134,1.34694625923624,1.96238388098689,"2001",10,"Hombres","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"147",1.62579999621134,1.34694625923624,1.96238388098689,"2001",11,"Hombres","Extremadura","Extremadura","EX",70,"diabetes"
"148",1.62579999621134,1.34694625923624,1.96238388098689,"2001",12,"Hombres","Galicia","Galicia","GA",71,"diabetes"
"149",1.62579999621134,1.34694625923624,1.96238388098689,"2001",13,"Hombres","Madrid","Madrid","MD",72,"diabetes"
"150",1.62579999621134,1.34694625923624,1.96238388098689,"2001",14,"Hombres","Murcia","Murcia","MC",73,"diabetes"
"151",1.62579999621134,1.34694625923624,1.96238388098689,"2001",15,"Hombres","Navarra","Navarra","NC",74,"diabetes"
"152",1.62579999621134,1.34694625923624,1.96238388098689,"2001",16,"Hombres","País Vasco","Pais Vasco","PV",75,"diabetes"
"153",1.62579999621134,1.34694625923624,1.96238388098689,"2001",17,"Hombres","La Rioja","La Rioja","RI",76,"diabetes"
"154",1.62579999621134,1.34694625923624,1.96238388098689,"2003",1,"Hombres","Andalucía","Andalucia","AN",61,"diabetes"
"155",1.62579999621134,1.34694625923624,1.96238388098689,"2003",2,"Hombres","Aragón","Aragon","AR",62,"diabetes"
"156",1.62579999621134,1.34694625923624,1.96238388098689,"2003",3,"Hombres","Asturias","Asturias","AS",63,"diabetes"
"157",1.62579999621134,1.34694625923624,1.96238388098689,"2003",4,"Hombres","Balears","Balears","IB",64,"diabetes"
"158",1.62579999621134,1.34694625923624,1.96238388098689,"2003",5,"Hombres","Canarias","Canarias","CN",65,"diabetes"
"159",1.62579999621134,1.34694625923624,1.96238388098689,"2003",6,"Hombres","Cantabria","Cantabria","CB",66,"diabetes"
"160",1.62579999621134,1.34694625923624,1.96238388098689,"2003",7,"Hombres","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"161",1.62579999621134,1.34694625923624,1.96238388098689,"2003",8,"Hombres","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"162",1.62579999621134,1.34694625923624,1.96238388098689,"2003",9,"Hombres","Cataluña","Catalunya","CT",69,"diabetes"
"163",1.62579999621134,1.34694625923624,1.96238388098689,"2003",10,"Hombres","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"164",1.62579999621134,1.34694625923624,1.96238388098689,"2003",11,"Hombres","Extremadura","Extremadura","EX",70,"diabetes"
"165",1.62579999621134,1.34694625923624,1.96238388098689,"2003",12,"Hombres","Galicia","Galicia","GA",71,"diabetes"
"166",1.62579999621134,1.34694625923624,1.96238388098689,"2003",13,"Hombres","Madrid","Madrid","MD",72,"diabetes"
"167",1.62579999621134,1.34694625923624,1.96238388098689,"2003",14,"Hombres","Murcia","Murcia","MC",73,"diabetes"
"168",1.62579999621134,1.34694625923624,1.96238388098689,"2003",15,"Hombres","Navarra","Navarra","NC",74,"diabetes"
"169",1.62579999621134,1.34694625923624,1.96238388098689,"2003",16,"Hombres","País Vasco","Pais Vasco","PV",75,"diabetes"
