"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"100",0.722617721052913,0.677524388747439,0.770712286453732,2014,"alcohol","Hombres",0
"101",0.67565814651206,0.632412330944887,0.721861210811679,2017,"alcohol","Hombres",0
"102",0.634658402859706,0.588906254725955,0.683965037029315,2020,"alcohol","Hombres",0
"103",0.586501127281092,0.529882938312518,0.649168990791536,2003,"alcohol","Mujeres",0
"104",0.409325719960755,0.331056584525874,0.506099418808857,2006,"alcohol","Mujeres",0
"105",0.673652437894387,0.546734129346123,0.830033434393041,2011,"alcohol","Mujeres",0
"106",0.399018884027701,0.357895345809377,0.444867673399458,2014,"alcohol","Mujeres",0
"107",0.32215418970506,0.286957589789665,0.361667806105409,2017,"alcohol","Mujeres",0
"108",0.369588696494261,0.327711540829415,0.416817193043041,2020,"alcohol","Mujeres",0
"109",1.57812287827295,1.47334878643151,1.69034775870043,2003,"sedentarismo","Overall",0
"110",1.98336622205213,1.8126973903811,2.17010384173958,2006,"sedentarismo","Overall",0
"111",1.46967789437199,1.37133362247901,1.57507485982956,2011,"sedentarismo","Overall",0
"112",2.04300574695317,1.8478221318378,2.25880641332747,2014,"sedentarismo","Overall",0
"113",2.40749336948125,2.18627138162336,2.65110012087908,2017,"sedentarismo","Overall",0
"114",2.8677964662637,2.59628008695989,3.16770775742642,2020,"sedentarismo","Overall",0
"115",1.80941802842091,1.62226038792028,2.01816775281793,2003,"sedentario","Hombres",0
"116",2.17114221314681,1.89506276941389,2.48744188624736,2006,"sedentario","Hombres",0
"117",1.46669249620623,1.32178950577322,1.6274806760319,2011,"sedentario","Hombres",0
"118",1.75446315742766,1.5116476585166,2.03628203532008,2014,"sedentario","Hombres",0
"119",2.26793447255483,1.97187466049666,2.60844508773547,2017,"sedentario","Hombres",0
"120",2.68960842388451,2.33381803876643,3.0996390265516,2020,"sedentario","Hombres",0
"121",1.40633851691551,1.28884968067945,1.53453738927683,2003,"sedentario","Mujeres",0
